playerName,ovr,position,program,team,price,externalId,url
Reggie Bush,89,,Ranked,,,109027227,https://www.mut.gg/players/27227-reggie-bush/27-109027227/
Sauce Gardner,89,,Ranked,,,109022260,https://www.mut.gg/players/22260-ahmad-gardner/27-109022260/
Christian Watson,89,,Ranked,,,109022373,https://www.mut.gg/players/22373-christian-watson/27-109022373/
Reggie Bush,88,,Ranked,,,109127227,https://www.mut.gg/players/27227-reggie-bush/27-109127227/
Sauce Gardner,88,,Ranked,,,109122260,https://www.mut.gg/players/22260-ahmad-gardner/27-109122260/
Christian Watson,88,,Ranked,,,109122373,https://www.mut.gg/players/22373-christian-watson/27-109122373/
Reggie Bush,87,,Ranked,,,109227227,https://www.mut.gg/players/27227-reggie-bush/27-109227227/
Sauce Gardner,87,,Ranked,,,109222260,https://www.mut.gg/players/22260-ahmad-gardner/27-109222260/
Christian Watson,87,,Ranked,,,109222373,https://www.mut.gg/players/22373-christian-watson/27-109222373/
DK Metcalf,86,,Collectors Series,,,161020353,https://www.mut.gg/players/20353-dk-metcalf/27-161020353/
Quinyon Mitchell,86,,Collectors Series,,,161014932,https://www.mut.gg/players/14932-quinyon-mitchell/27-161014932/
Sonny Styles,86,,Collectors Series,,,161016185,https://www.mut.gg/players/16185-sonny-styles/27-161016185/
Champ Bailey,86,,Legends,,,163011350,https://www.mut.gg/players/11350-champ-bailey/27-163011350/
T.Y. Hilton,86,,Legends,,,163011276,https://www.mut.gg/players/11276-ty-hilton/27-163011276/
Joe Montana,86,,Legends,,,163011208,https://www.mut.gg/players/11208-joe-montana/27-163011208/
Reggie Bush,86,,Ranked,,,109327227,https://www.mut.gg/players/27227-reggie-bush/27-109327227/
Leo Chenal,86,,Preseason Standouts,,,111022458,https://www.mut.gg/players/22458-leo-chenal/27-111022458/
Sauce Gardner,86,,Ranked,,,109322260,https://www.mut.gg/players/22260-ahmad-gardner/27-109322260/
Kyler Murray,86,,Preseason Standouts,,,111020430,https://www.mut.gg/players/20430-kyler-murray/27-111020430/
Christian Watson,86,,Ranked,,,109322373,https://www.mut.gg/players/22373-christian-watson/27-109322373/
Cole Bishop,86,,Pregame Access,,,106014958,https://www.mut.gg/players/14958-cole-bishop/27-106014958/
Matthew Golden,86,,Pregame Access,,,106015096,https://www.mut.gg/players/15096-matthew-golden/27-106015096/
Quinshon Judkins,86,,Pregame Access,,,106014811,https://www.mut.gg/players/14811-quinshon-judkins/27-106014811/
Luke Kuechly,86,,Core Players,,,101011309,https://www.mut.gg/players/11309-luke-kuechly/27-101011309/
Nate Wiggins,86,,Pregame Access,,,106014924,https://www.mut.gg/players/14924-nate-wiggins/27-106014924/
Mansoor Delane,85,,Collectors Series,,,161001827,https://www.mut.gg/players/1827-mansoor-delane/27-161001827/
